,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Native Coin,SELF,Unlock Months,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Max. supply,"500,000,000",Fiat Currency,"USD, $",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Listing Price,$0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Token allocation,,,,Presale,,,,TGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,%,Coin,,"Price, USD","Raise, USD","FDV, USD",,"TGE, %","TGE, coins","post TGE, %","post TGE, coins",Cliff,Vesting (M),Vesting (%/M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pre-Seed,10%,"50,000,000",,0.03,"1,500,000","15,000,000",Pre-Seed,50%,"25,000,000",50%,"25,000,000",0,10,5.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seed,2%,"10,000,000",,0.04,"400,000","20,000,000",Seed,25%,"2,500,000",75%,"7,500,000",0,12,6.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private,2%,"10,000,000",,0.05,"500,000","25,000,000",Private,25%,"2,500,000",75%,"7,500,000",3,15,5.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public,1%,"5,000,000",,0.06,"300,000","30,000,000",Public,20%,"1,000,000",80%,"4,000,000",1,15,5.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Partners,4%,"20,000,000",,,"2,400,000",,Partners,10%,"2,000,000",90%,"18,000,000",3,15,6.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team & Advisors,10%,"50,000,000",,,"2,700,000",,Team & Advisors,0%,0,100%,"50,000,000",3,36,2.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liquidity,10%,"50,000,000",,0.031666667,,,Liquidity,100%,"75,000,000",0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,User Adoption,15%,"75,000,000",,0.033333333,,,User Adoption,10%,"7,500,000",90%,"67,500,000",0,48,1.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Developer Incentives,15%,"75,000,000",,0.03,,,Developer Incentives,10%,"8,000,000",90%,"72,000,000",0,48,1.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ecosystem,15%,"75,000,000",,,,,Ecosystem,10%,"8,000,000",90%,"67,500,000",0,48,1.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staking,16%,"80,000,000",,,,,Staking,0%,0,100%,"80,000,000",0,36,2.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Presale supply,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Presale supply,"75,000,000",coins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Presale raise,"2,700,000",USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TGE supply,23.10%,,this is closer to 8-10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TGE supply,"115,500,000",coins,since only part of liq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public sale price,0.06,USD,is circulating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TGE market cap,"6,930,000",USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fully diluted m. cap,"30,000,000",USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Year,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,
,,,,,Month,1,2,3,4,5,6,7,8,9,10,11,12,/500,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,,,,,,,,,,,,,
,Unlock Distribution,% of Total,Total Coins,% of TGE,TGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(not incl. 10% liq.),90%,"450,000,000",,"115,500,000","5,347,222","5,347,222","5,347,222","12,921,528","12,921,528","12,921,528","12,921,528","12,921,528","12,921,528","12,921,528","10,421,528","10,421,528","9,796,528","9,796,528","9,796,528","9,796,528","9,796,528","9,796,528","7,829,861","7,829,861","7,829,861","7,829,861","7,829,861","7,829,861","7,829,861","7,829,861","7,829,861","7,829,861","7,829,861","7,829,861","7,829,861","7,829,861","7,829,861","7,829,861","7,829,861","7,829,861","5,607,639","5,607,639","5,607,639","2,812,500","2,812,500","2,812,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,Pre-Seed,10%,"50,000,000",22%,"25,000,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seed,2%,"50,000,000",2%,"2,500,000","625,000","625,000","625,000","625,000","625,000","625,000","625,000","625,000","625,000","625,000","625,000","625,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private,2%,"10,000,000",2%,"2,500,000",,,,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public,1%,"5,000,000",1%,"1,000,000",,,,"266,667","266,667","266,667","266,667","266,667","266,667","266,667","266,667","266,667","266,667","266,667","266,667","266,667","266,667","266,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Partners,4%,"20,000,000",2%,"2,000,000",,,,"1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team & Advisors,10%,"50,000,000",0%,0,,,,"1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889","1,388,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,User Adoption,15%,"75,000,000",6%,"7,500,000",,,,"1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Developer Incentives,15%,"75,000,000",7%,"8,000,000",,,,"1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ecosystem,15%,"75,000,000",7%,"8,000,000",,,,"1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250","1,406,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staking,16%,"80,000,000",0%,0,"2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Circulating,,,26%,"115,500,000","120,847,222","126,194,444","131,541,667","144,463,194","157,384,722","170,306,250","183,227,778","196,149,306","209,070,833","221,992,361","232,413,889","242,835,417","252,631,944","262,428,472","272,225,000","282,021,528","291,818,056","301,614,583","309,444,444","317,274,306","325,104,167","332,934,028","340,763,889","348,593,750","356,423,611","364,253,472","372,083,333","379,913,194","387,743,056","395,572,917","403,402,778","411,232,639","419,062,500","426,892,361","434,722,222","442,552,083","448,159,722","453,767,361","459,375,000","462,187,500","465,000,000","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500","467,812,500",,,,,,,,,,,,,
